Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Ticontre: Teoria Testo Traduzione,,2284-4473,"Spanish, Italian, French, English",Università degli studi di Trento,No,CC BY-NC-ND,No
California Fish and Wildlife Journal,2689-419X,2689-4203,English,California Department of Fish and Wildlife,No,Public domain,Yes
Agronomy Science,2544-4476,2544-798X,"Polish, English",University of Life Sciences in Lublin - Publishing House,No,"CC BY, CC BY-NC-ND",Yes
Комплексные исследования детства,,2687-0223,"English, Russian",Herzen State Pedagogical University of Russia,No,CC BY-NC,No
Biology Open,,2046-6390,English,The Company of Biologists,Yes,CC BY,Yes
Zeithistorische Forschungen,1612-6033,1612-6041,"English, German",Vandenhoeck & Ruprecht GmbH & Co. KG,No,CC BY-SA,No
Pedagogika. Studia i Rozprawy,2658-1213,,"Polish, English, German, Russian, Ukrainian",Jan Długosz University in Częstochowa,No,CC BY,No
Dermatology Practical & Conceptual,,2160-9381,English,Mattioli1885,No,CC BY-NC,No
Известия Саратовского университета: Новая серия. Серия Философия. Психология. Педагогика,1819-7671,2542-1948,"English, Russian",Saratov State University,No,CC BY,No
Central European Journal of Educational Research,,2677-0326,English,Debrecen University Press,No,CC BY,No
"Модели, системы, сети в экономике, технике, природе и обществе",2227-8486,,"English, Russian",Penza State University Publishing House,No,CC BY,No
Етически изследвания,,2534-8434,"Bulgarian, English, Russian",Bulgarian Academy of Sciences,No,CC BY-NC-ND,No
Revista Perspectivas,,2590-9215,Spanish,Universidad Francisco de Paula Santander,No,CC BY,No
Análisis,0120-8454,2145-9169,"Spanish, Portuguese, German, English",Universidad Santo Tomás,No,CC BY-SA,No
Online Journal of Rural Nursing and Health Care,,1539-3399,English,Rural Nurse Organization; Binghamton University,No,CC BY-NC,No
Интеграция образования,1991-9468,2308-1058,Russian,National Research Mordova State University,Yes,CC BY,No
Пенитенциарная наука,2686-9764,2782-1986,"Russian, English","Federal Penitentiary Service of Russia, Vologda Law and Economics Institute (VIPE FSIN Russia)",No,CC BY,No
Journal of Health (JOH),2355-8857,2407-6376,Indonesian,LPPM STIKES Guna Bangsa Yogyakarta,No,CC BY,Yes
Journal of Chromatography Open,,2772-3917,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Territoires du Vin,,1760-5296,French,Université de Bourgogne,No,CC BY,No
Physics Education Research Journal,2685-6190,2714-7746,"English, Indonesian",Universitas Islam Negeri Walisongo Semarang,No,CC BY-SA,No
Krisis,,1875-7103,"English, Dutch",University of Groningen Press,No,CC BY,No
Journal of International Economics and Management,2615-9856,,English,"HDV INSER., JSC",No,CC BY-NC,No
ALTEX: Alternatives to Animal Experimentation,,1868-596X,English,Springer Spektrum,No,CC BY,Yes
Sukkur IBA Journal of Emerging Technologies,2616-7069,2617-3115,English,Sukkur IBA University,No,CC BY-NC,No
Journal of Student-Run Clinics,,2474-9354,English,Society of Student-Run Free Clinics,No,CC BY,No
Литературный факт,2541-8297,2542-2421,"English, Russian",Russian Academy of Sciences. A.M. Gorky Institute of World Literature,No,CC BY,No
آموزش پزشکی,2322-4940,2345-5497,Persian,Babol University of Medical Sciences,No,CC BY-NC,No
LingVaria,1896-2122,2392-1226,"Polish, English, Russian, German, French",Ksiegarnia Akademicka Publishing,No,CC BY-NC-ND,No
Airea,,2516-8061,English,University of Edinburgh Library,No,CC BY,No
JAm It!,,2612-5641,"English, Italian",Università degli Studi di Torino,No,CC BY-NC-ND,No
Politeja,1733-6716,2391-6737,"Polish, English",Ksiegarnia Akademicka Publishing,No,CC BY-NC-ND,No
Journal of Coloproctology,2237-9363,2317-6423,English,Thieme Revinter Publicações Ltda.,No,"CC BY, CC BY-NC-ND",No
Инженерные технологии и системы,2658-4123,2658-6525,"English, Russian",National Research Mordova State University; MRSU,No,CC BY,No
Canadian Medical Education Journal,,1923-1202,"English, French",Canadian Medical Education Journal,No,CC BY-NC-ND,No
Cadernos de Pesquisa,0100-1574,,"Spanish, Portuguese, English",Fundação Carlos Chagas,No,CC BY-NC,No
Cogitare Enfermagem,1414-8536,2176-9133,"English, Portuguese, Spanish",Universidade Federal do Paraná,No,CC BY,Yes
Славянский мир в третьем тысячелетии,2412-6446,,Russian,"Russian Academy of Sciences, Institute of Slavic Studies",No,CC BY-ND,No
"Plural: History, Culture, Society",2345-1262,2345-184X,"English, French, German, Romanian, Russian",Editura ARC,No,CC BY-NC-ND,No
"21: Inquiries into Art, History, and the Visual",2701-1569,2701-1550,"English, French, German, Italian",arthistoricum.net,No,CC BY-NC-ND,No
Hermeneutische Blätter,1660-5403,1660-5578,"English, German",Institut für Hermeneutik und Religionsphilosophie,No,CC BY-NC-ND,No
Hydrologie und Wasserbewirtschaftung,1439-1783,,German,Bundesanstalt für Gewässerkunde,No,CC BY,No
Journal of Tourism Analysis,,2254-0644,"Spanish, English",Asociación Española de Expertos Científicos en Turismo (AECIT),No,"CC BY, CC BY-NC",No
Repères DoRiF,,2281-3020,French,DoRiF Università,No,CC BY-NC-ND,No
EduHumaniora: Jurnal Pendidikan Dasar,2085-1243,2579-5457,"English, Indonesian",Universitas Pendidikan Indonesia,No,CC BY-SA,Yes
Mining Machines,,2719-3306,English,KOMAG Institute of Mining Technology,No,CC BY-NC,No
Jurnal Ilmu Keperawatan Maternitas,,2621-2994,Indonesian,Persatuan Perawat Nasional Indonesia Jawa Tengah,No,CC BY,Yes
Journal of Fundamental and Applied Pharmaceutical Science,2723-7648,2723-763X,English,Universitas Muhammadiyah Yogyakarta,No,CC BY-SA,No
The Journal of The British Blockchain Association,2516-3949,2516-3957,English,The British Blockchain Association,No,CC BY,Yes
Jurnal Kajian Anak,2686-5343,2715-7989,"English, Indonesian",Universitas Muhammadiyah Metro,No,CC BY,Yes
Известия Саратовского университета. Новая серия: Серия «Экономика. Управление. Право»,1994-2540,2542-1956,"English, Russian",Saratov State University,Yes,CC BY,No
Известия Саратовского университета. Новая серия: Серия Химия. Биология. Экология,1816-9775,2541-8971,"English, Russian",Saratov State University,Yes,CC BY,No
Journal of Business Strategies,0887-2058,2162-6901,English,Sam Houston State University,No,CC BY-NC,No
Север и рынок: формирование экономического порядка,2220-802X,,"English, Russian","The Russian Academy of Sciences, Federal Research Centre Kola Science Centre",No,CC BY,No
Crítica Historiográfica,,2764-2666,"Portuguese, English, Spanish, French, Italian",Universidade Federal do Rio Grande do Norte,No,CC BY-SA,No
Дифференциальная геометрия многообразий фигур,0321-4796,2782-3229,"Russian, English",Immanuel Kant Baltic Federal University,No,CC BY,No
Le Simplegadi,,1824-5226,"Italian, English",University of Udine,Yes,CC BY,No
Indonesian Midwifery and Health Sciences Journal,,2656-7806,"English, Indonesian",Universitas Airlangga,Yes,CC BY-SA,Yes
Cross-Cultural Management Journal,,2286-0452,English,Romanian Foundation for Business Intelligence,No,CC BY-ND,Yes
Métodos y Materiales,2215-342X,2215-4558,Spanish,Universidad de Costa Rica,No,CC BY-NC-ND,No
Revista Encontros,1807-3867,2447-6196,Portuguese,Departamento de História - Colégio Pedro II,No,CC BY-NC-SA,No
Экспериментальная психология,2072-7593,2311-7036,Russian,Moscow State University of Psychology and Education,No,CC BY-NC,No
Гуманитарный вектор,1996-7853,2542-0038,Russian,Transbaikal State University,No,CC BY,No
AGIT: Journal für Angewandte Geoinformatik,2364-9283,2509-713X,"English, German","Wichmann Verlag, VDE VERLAG GMBH",No,CC BY-ND,Yes
International Journal of Psychology: A Biopsychosocial Approach,1941-7233,2345-024X,English,Vytautas Magnus University,No,CC BY-NC,No
مجلة كلية التربية للبنات,1680-8738,2663-547X,"Arabic, English",College of Education for Women,No,CC BY,Yes
International Journal for Court Administration,,2156-7964,English,International Association for Court Administration,Yes,CC BY,No
"Економіка, Eкологія, Cоціум",,2616-7107,"English, Ukrainian",Institute for Market Problems and Economic-and-Ecological Research of the National Academy of Sciences of Ukraine,No,CC BY-NC,Yes
Didáctica Geográfica,0210-492X,2174-6451,"English, French, Portuguese, Spanish",Asociación Española de Geografía,No,CC BY-NC-SA,No
Biblos,0870-4112,2183-7139,Portuguese,Coimbra University Press,No,CC BY,No
Yearbook of Balkan and Baltic Studies,2613-7844,2613-7852,English,ELM Scholarly Press,No,CC BY-NC-ND,No
Ingeniería,0121-750X,2344-8393,Spanish,Universidad Distrital Francisco José de Caldas,No,CC BY-NC-ND,No
Uqyānūs/shināsī,1562-1057,2476-6755,Persian,Regional Information Center for Science and Technology (RICeST),No,CC BY,Yes
Istraživanja u Pedagogiji,2217-7337,2406-2006,English,"Preschool Teacher Training College ""Mihailo Palov""",No,CC BY,No
Žurnal Grodnenskogo Gosudarstvennogo Medicinskogo Universiteta,2221-8785,2413-0109,"Belarusian, English, Russian",Grodno State Medical University,No,CC BY,No
Psicooncologia,1696-7240,1988-8287,Spanish,Universidad Complutense de Madrid,No,CC BY,No
The Asia Pacific Scholar,2424-9335,2424-9270,English,National University of Singapore,No,CC BY-NC,No
Fondatia : Jurnal Pendidikan Dasar,2656-5390,2579-6194,"English, Indonesian",Prodi Pendidikan Guru Madrasah Ibtidaiyah,No,CC BY,Yes
Revista Brasileira de Pesquisa em Ciências da Saúde,,2446-5577,"English, Portuguese, Spanish",Centro Universitário ICESP de Brasília,No,CC BY,No
RNA & DISEASE,,2375-2467,English,Smart Science & Technology LLC,No,CC BY,No
Contratexto,1025-9945,1993-4904,"Portuguese, English, Spanish",Universidad de Lima,No,CC BY,No
Anthropologica,0254-9212,2224-6428,Spanish,Pontificia Universidad Católica del Perú,No,CC BY-NC,No
CorSalud,,2078-7170,"Spanish, English",Cardiocentro Ernesto Che Guevara,No,Publisher's own license,No
Journal of Techno-Social,2229-8940,,"English, Malay (macrolanguage)",Penerbit UTHM,No,Publisher's own license,No
Władza Sądzenia,,2300-1690,Polish,Katedra Socjologii Polityki i Moralności Wydział Ekonomiczno-Socjologiczny Uniwersytet Łódzki,No,CC BY-NC-SA,No
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,1981-6197,2177-4560,"English, Portuguese, Spanish",Essentia Editora,No,CC BY,No
JINOP (Jurnal Inovasi Pembelajaran),2443-1591,2460-0873,"English, Indonesian",Universitas Muhammadiyah Malang,No,CC BY,No
Noctua,,2284-1180,"Spanish, Portuguese, Italian, German, French, English",E-theca OnLineOpenAccess Edizioni,No,CC BY,No
Bulletin of the International Association for Paleodontology,,1846-6273,English,International Association for Paleodontology,No,CC BY-NC-ND,No
Riset Akuntansi dan Keuangan Indonesia,,2541-6111,"English, Indonesian",Muhammadiyah University Press,No,CC BY-NC-SA,No
Jurnal Veteriner,1411-8327,,"Indonesian, English",Universitas Udayana,No,CC BY,Yes
Farmacéuticos Comunitarios,1885-8619,2173-9218,Spanish,SEFAC,No,CC BY-NC-ND,No
Interação em Psicologia,1981-8068,1981-8076,"English, Portuguese",Universidade Federal do Paraná,No,CC BY-NC,No
Jurnal Keuangan dan Perbankan,1410-8089,2443-2687,"English, Indonesian",Universitas Merdeka Malang,No,CC BY-SA,No
Journal of Breast Cancer,1738-6756,2092-9900,"English, Korean",Se Jeong Oh,No,CC BY-NC,Yes
حسابداری سلامت,2252-0473,2252-0546,Persian,Shiraz University of Medical Sciences,No,CC BY-NC-ND,No
International Series on Information Systems and Management in Creative eMedia,,2341-5576,English,International Ambient Media Association (iAMEA),No,CC BY-NC-ND,No
Jurnal Benefita,,2477-7862,Indonesian,Lembaga Layanan Pendidikan Tinggi Wilayah X,No,CC BY,Yes
Bearing Witness: Joyce Carol Oates Studies,,2373-275X,English,University of San Francisco,No,CC BY,No
Ihtifaz,2622-4755,2622-4798,"English, Indonesian",Universitas Ahmad Dahlan,No,CC BY-SA,No
Jurnal Linguistik Komputasional,,2621-9336,"English, Indonesian",Indonesia Association of Computational Linguistics (INACL),No,CC BY-NC-SA,No
Huellas,0329-0573,2362-5643,"Portuguese, Spanish",Universidad Nacional de La Pampa. Facultad de Ciencias Humanas,No,CC BY-NC-SA,No
History of Science in South Asia,,2369-775X,"English, Sanskrit",University of Alberta,No,CC BY-SA,No
Jurnal Kawistara,2088-5415,2355-5777,"English, Indonesian",Universitas Gadjah Mada,No,CC BY-SA,Yes
"International Journal of Aviation, Aeronautics, and Aerospace",,2374-6793,English,Embry-Riddle Aeronautical University,No,CC BY-NC-ND,No
Comunicologia,,1981-2132,Portuguese,Universidade Católica de Brasília,No,CC BY,No
Revista de Ciencia y Tecnología,0329-8922,1851-7587,"English, Portuguese, Spanish",Universidad Nacional de Misiones,No,CC BY-NC,No
Universidad y Empresa,0124-4639,2145-4558,"English, Spanish",Universidad del Rosario,No,CC BY-NC,No
Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Hìmìâ,2304-0947,2414-5963,"English, Russian, Ukrainian",Odessa I. I. Mechnikov National University,No,CC BY-SA,No
Revista Nacional de Administración,1659-4908,1659-4932,Spanish,Universidad Nacional de Educación a Distancia (UNED),No,CC BY,No
Iatreia,0121-0793,2011-7965,Spanish,Universidad de Antioquia,No,CC BY-NC-SA,No
Novum,0121-5698,2357-4933,Spanish,Universidad Nacional de Colombia,No,CC BY-NC-SA,No
Al-Ta'rib,2354-5887,2655-5867,"Arabic, English, Indonesian",Institut Agama Islam Negeri (IAIN) Palangka Raya,No,CC BY-SA,No
"Naukovij Vìsnik Nacìonalʹnogo Unìversitetu Bìoresursìv ì Prirodokoristuvannâ Ukraïni. Serìâ: Ekonomìka, Agrarnij Menedžment ta Bìznes",2222-8586,2415-7627,"English, Russian, Ukrainian",National University of Life and Environmental Sciences of Ukraine,No,CC BY-NC-SA,Yes
Вісник Харківського національногоуніверситету імені В.Н. Каразіна. Серія: Радіофізика та електроніка,2311-0872,,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,No,CC BY,No
"Журнал Белорусского государственного университета: География, геология",2521-6740,2617-3972,"Belarusian, English, Russian",Belarusian State University,No,CC BY-NC,No
Erga-Logoi,2280-9678,2282-3212,"English, French, German, Italian, Spanish",LED Edizioni Universitarie,No,CC BY-NC-ND,No
Investigaciones Regionales - Journal of Regional Research,1695-7253,2340-2717,"English, Spanish",AECR,No,Publisher's own license,No
Heterocyclic Communications,,2191-0197,English,De Gruyter,No,"CC BY, CC BY-NC-ND",Yes
Endoscopy International Open,2364-3722,2196-9736,English,Georg Thieme Verlag KG,No,"CC BY, CC BY-NC-ND",Yes
Culture e Studi del Sociale,,2531-3975,"English, Italian",University of Salerno,No,CC BY-NC-ND,No
International Journal of the First Year in Higher Education,,1838-2959,English,Queensland University of Technology,No,CC BY,No
Kaibon Abhinaya,,2657-1110,"English, Indonesian",Universitas Serang Raya,No,CC BY,Yes
Bunron,,2199-2754,"English, German, Japanese",Universität Heidelberg - Japanologie,No,CC BY,No
Revista Ciencias Marinas y Costeras,1659-455X,1659-407X,"English, Spanish","Universidad Nacional, Costa Rica",No,CC BY-NC-SA,No
Uniciencia,1011-0275,2215-3470,Spanish,"Universidad Nacional, Costa Rica",No,CC BY-NC-ND,No
"JEET, Journal of English Education and Technology",,2721-3811,English,Asosiasi Dosen Pengembang Masyarakat (ADPEMAS) Forum Komunikasi Dosen Peneliti (FKDP),No,CC BY-SA,No
"Espacio, Tiempo y Educación",,2340-7263,"English, Italian, Spanish",FahrenHouse,No,CC BY-NC,No
"GEPROS: Gestão da Produção, Operações e Sistemas",,1984-2430,"English, Portuguese",Universidade Estadual Paulista,No,CC BY-NC,No
Mundo Livre,,2525-5819,Portuguese,Universidade Federal Fluminense (UFF),No,CC BY,No
Health and Interprofessional Practice,,2159-1253,English,Pacific University Library,No,CC BY,No
Revista de Cultura Teologica,0104-0529,2317-4307,"English, French, Portuguese",Pontifícia Universidade Católica de São Paulo,No,CC BY-NC-SA,No
Cuadernos AISPI,2283-981X,,"Italian, Spanish",Ledizioni,No,CC BY-NC-ND,No
Scienze del Territorio,2384-8774,2284-242X,"English, Italian",Firenze University Press,No,CC BY,No
Maal og Minne,0024-855X,1890-5455,"Danish, English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,No,CC BY-SA,No
Psico-USF,1413-8271,2175-3563,"English, Portuguese, Spanish",Universidade de São Francisco,No,CC BY,No
Revista Perspectivas,1994-3733,2411-0566,Spanish,Universidad Católica Boliviana,No,CC BY,No
Проблемы анализа,2306-3424,2306-3432,"Russian, English",Petrozavodsk State University,No,CC BY-NC,No
European Medical Journal Reproductive Health,,2059-450X,English,European Medical Journal,No,CC BY-NC,No
Veritas et Justitia,2460-0555,2460-4488,"English, Indonesian",Parahyangan Catholic University,No,CC BY,No
El Oído Pensante,,2250-7116,"English, Portuguese, Spanish","Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires)",No,CC BY-NC,No
Revista Analisando em Ciência da Informação,,2317-9708,Portuguese,Universidade Estadual da Paraíba,No,CC BY-NC,No
"Rainbow: Journal of Literature, Linguistics and Culture",2252-6323,2721-4540,English,Universitas Negeri Semarang,No,CC BY,No
Jurnal Bidang Pendidikan Dasar,2549-0117,2549-0125,Indonesian,Universitas Kanjuruhan Malang,No,CC BY-SA,Yes
Science Diliman,0115-7809,2012-0818,English,University of the Philippines,No,Publisher's own license,No
PROFESORADO,1138-414X,1989-6395,Spanish,"Grupo FORCE, Universidad de Granada",No,CC BY-NC-ND,No
Archivum Mathematicum,0044-8753,1212-5059,English,Masarykova Universita,No,CC BY-NC-ND,No
Nirmana,0215-0905,,"English, Indonesian",Petra Christian University,No,CC BY,No
Estudios Demográficos y Urbanos,0186-7210,2448-6515,Spanish,"El Colegio de México, A.C.",No,CC BY-NC-ND,No
Ranah: Jurnal Kajian Bahasa,2338-8528,2579-8111,"English, Indonesian",Badan Pengembangan dan Pembinaan Bahasa,No,CC BY-NC-SA,No
JFMR-Journal of Fisheries and Marine Research,,2581-0294,"English, Indonesian",University of Brawijaya,No,CC BY-NC,No
Ius et Praxis,0717-2877,0718-0012,Spanish,Universidad de Talca,No,CC BY,No
Global Economic Observer,2343-9742,2343-9750,English,Nicolae Titulescu University,No,CC BY-SA,No
Journal of Statistical Software,,1548-7660,English,Foundation for Open Access Statistics,No,CC BY,No
Risco: Revista de Pesquisa em Arquitetura e Urbanismo,,1984-4506,Portuguese,Universidade de São Paulo,No,CC BY-NC-SA,No
Jurnal Pendidikan Matematika dan IPA,2086-0234,,Indonesian,Universitas Tanjungpura Pontianak,No,CC BY,No
Revista de Estudios de Seguridad Internacional,,2444-6157,Spanish,Universidad de Granada,No,CC BY-NC,No
International Journal Pedagogy of Social Studies,2550-0600,2549-6530,"English, Indonesian",Universitas Pendidikan Indonesia,No,CC BY-SA,No
European Medical Journal Oncology,,2054-619X,English,European Medical Journal,No,CC BY-NC,No
Temporalidades,,1984-6150,Portuguese,Universidade Federal de Minas Gerais,No,CC BY,No
Educação Online,,1809-3760,"English, Portuguese, Spanish",Pontifical Catholic University of Rio de Janeiro (PUC-Rio),No,Publisher's own license,No
Desafios,,2359-3652,"English, Portuguese, Spanish",Universidade Federal do Tocantins,No,CC BY-NC,No
disClosure: A Journal of Social Theory,1055-6133,2332-9246,English,University of Kentucky,No,CC BY-NC,No
Simbiosis: Journal of Biological Sciences,2337-7224,,"Indonesian, English",Universitas Udayana,No,CC BY,Yes
Survey Research Methods,,1864-3361,English,European Survey Research Association,No,Publisher's own license,No
Politai,2219-4142,2415-2498,Spanish,Asociación Civil Politai,No,CC BY,No
Meta-Carto-Semiotics,,1868-1387,"German, English",meta-carto-semiotics,No,CC BY-NC-ND,No
Revista Estudo & Debate,,1983-036X,Portuguese,Editora Univates,No,CC BY-NC,No
Revista Debates,2236-479X,1982-5269,Portuguese,Universidade Federal do Rio Grande do Sul,No,CC BY,No
Revista Electrónica de Enseñanza de las Ciencias (REEC),,1579-1513,"English, French, Portuguese, Spanish",Universidade de Vigo,No,CC BY,No
Jurnal Sain Veteriner,,2407-3733,Indonesian,Universitas Gadjah Mada,No,CC BY-SA,Yes
Territorio Italia,,2499-2674,English,Agenzia delle Entrate,No,CC BY-NC,No
Boletim Gaùcho de Geografia,0101-7888,2357-9447,"Spanish, Portuguese","Associação dos Geógrafos Brasileiros, Seção de Porto Alegre",No,CC BY,No
Global Medical & Health Communication,2301-9123,2460-5441,"English, Indonesian",Universitas Islam Bandung,No,CC BY-NC-SA,Yes
Revista Latino Americana de Estudos em Cultura e Sociedade,,2525-7870,"Portuguese, Spanish",Centro Latino-Americano de Estudos em Cultura,No,CC BY-NC,No
feminists@law,,2046-9551,English,University of Kent,No,CC BY,No
Logistics Research,1865-035X,1865-0368,English,BVL,No,CC BY,No
Pythagoras: Jurnal pendidikan Matematika,1978-4538,2527-421X,Indonesian,Universitas Negeri Yogyakarta,No,CC BY,No
Contemporanea : Revista de Comunicação e Cultura,1806-0269,1809-9386,Portuguese,Universidade Federal da Bahia,No,CC BY,No
Publicum,,2447-7982,Portuguese,Universidade do Estado do Rio de Janeiro,No,CC BY-NC,No
Infection Epidemiology and Medicine,2322-2298,2345-4946,English,University of Tarbiat Modares,No,CC BY-NC,No
European Medical Journal Rheumatology,,2056-6395,English,European Medical Journal,No,CC BY-NC,No
Aquatic Biology,1864-7782,1864-7790,English,Inter-Research,No,CC BY,Yes
Jurnal Pendidikan Matematika,1978-0044,2549-1040,Indonesian,Universitas Sriwijaya,No,CC BY-NC-SA,No
Journal of Anthropology of Sport and Physical Education,2536-569X,2536-5703,English,"University of Montenegro, Faculty for Sport and Physical Education, Montenegrin Sports Academy",No,CC BY,No
Revista Otarq: Otras arqueologías,,2530-4933,Spanish,JAS Arqueología,No,CC BY-NC-ND,No
Refleksi Edukatika,2087-9385,2528-696X,Indonesian,Universitas Muria Kudus,No,CC BY,No
